alpha_word,alpha_ent,k,score_deezer,score_itunes
0.2,0.3,20,50.2,49.3
0.2,0.3,50,48.9,43.3
0.2,0.3,100,51.4,49.5
0.2,0.3,200,48.4,47.0
0.2,0.4,20,53.1,47.2
0.2,0.4,50,49.2,49.5
0.2,0.4,100,50.8,50.7
0.2,0.4,200,50.6,51.3
0.3,0.3,20,48.5,50.3
0.3,0.3,50,52.1,52.5
0.3,0.3,100,51.5,49.0
0.3,0.3,200,49.8,48.2
0.3,0.4,20,53.3,52.5
0.3,0.4,50,50.9,49.5
0.3,0.4,100,55.3,49.2
0.3,0.4,200,51.6,49.8
0.4,0.3,20,53.2,52.8
0.4,0.3,50,51.5,50.1
0.4,0.3,100,52.2,50.6
0.4,0.3,200,50.0,51.1
0.4,0.4,20,56.4,52.4
0.4,0.4,50,52.6,51.9
0.4,0.4,100,48.1,49.9
0.4,0.4,200,49.0,47.4
0.5,0.3,20,52.5,50.6
0.5,0.3,50,56.3,46.5
0.5,0.3,100,50.8,46.7
0.5,0.3,200,55.4,49.0
0.5,0.4,20,56.3,50.5
0.5,0.4,50,60.6,52.0
0.5,0.4,100,54.9,48.7
0.5,0.4,200,53.3,46.1
